,연번,시설코드,대상 유형,근거법규,사회복지시설,"시설기관 
대분류","시설기관 
세분류",시설기관명,"사업자번호
(기관기호)",시설기관장,대표전화,대표메일,팩스,주소,운영주체,운영주체명,정원 (2026.6),현원 (2026.6),"VMS 
인증여부","가평SSN 
회원여부",아이디,비밀번호,담당자,연락처,직책,"담당자
메일",홈페이지,비고
,,,노인,노인복지법,Y,노인여가복지시설,경로당,주공아파트 경로당,? ,김송희,031-581-1045,? ,,가평읍 가화로 142-26 주공A 관리소옆 노인정,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,읍내10리 경로당,? ,정종수,031-582-6494,? ,,가평읍 문화로 298,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,휴먼시아 경로당,? ,신광현,031-582-1830,? ,,가평읍 가화로 164 휴먼시아아파트 노인정 1층,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,파란채아파트 경로당,? ,김 주,031-584-5691,? ,,가평읍 가화로 223 101동 303호 파란채 A,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대곡1리 경로당,? ,공석,031-582-2263,? ,,가평읍 오리나무길 54-2,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대곡1리(오목) 경로당,? ,장권순,031-582-8144,? ,,가평읍 자라섬로 22-25,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대곡2리 경로당,? ,장기명,031-582-8183,? ,,가평읍 새말옛로 10,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대곡3리 경로당,? ,장봉주,031-582-7776,? ,,가평읍 비석거리길 13,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대곡4리 경로당,? ,정재현,031-582-3763,? ,,가평읍 석봉로77번길 1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,우림아파트 경로당,? ,이스에자,031-581-0351,? ,,가평읍 문화로 112 우림필유A 관리실 옆 노인정,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,달전1리 경로당,? ,김명호,031-582-1690,? ,,가평읍 북한강변로 1127-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,달전2리 경로당,? ,이홍열,031-582-4427,? ,,가평읍 강산길 14,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,달전리넥스빌 경로당,? ,조선옥,031-581-2934,? ,,가평읍 달전로 59 넥스빌 관리사무소 옆 노인정,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하색1리 경로당,? ,전금복,031-582-2711,? ,,가평읍 진동안길 10,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하색2리 경로당,? ,신익균,031-582-4059,? ,,가평읍 태봉안길 23,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하색2리(칠악골) 경로당,? ,김용기,,? ,,가평읍 달전천벚꽃길 257-21,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하색2리(진양마을) 경로당,? ,장기일,,? ,,가평읍 태봉안길 141,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상색리(벌태봉) 경로당,? ,이철우,031-582-7679,? ,,가평읍 태봉두밀로 38-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상색리(포회촌) 경로당,? ,탁연학,,? ,,가평읍 불기산길 48,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상색리(연갈) 경로당,? ,신현덕,,? ,,가평읍 연갈길 124-221,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,두밀1리 경로당,? ,이만규,031-582-9201,? ,,가평읍 태봉두밀로 422-5,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,두밀2리 경로당,,왕종범,,,,가평읍 태봉두밀로 582,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,경반리 경로당,? ,장풍순,031-582-7431,? ,,가평읍 경반안로 116,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,경반말구리 경로당,? ,장동주,,? ,,가평읍 석봉로191번길 210,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,승안1리 경로당,? ,원영주,031-582-8173,? ,,가평읍 용추로 3-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,승안2리 경로당,? ,최덕선,031-582-3115,? ,,가평읍 용추로 238,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,마장1리 경로당,? ,서권성,031-581-0500,? ,,가평읍 아랫마장길 136-84,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,마장2리 경로당,? ,채규화,031-582-8362,? ,,가평읍 각담말길 9-70,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,마장2리(송정) 경로당,? ,한면수,,? ,,가평읍 가화로 440-57,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,개곡1리 경로당,? ,서임석,031-582-2293,? ,,가평읍 능모루길 117,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,개곡2리 경로당,? ,박상열,031-582-9055,? ,,가평읍 당목가일길 401,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,개곡2리(주을길) 경로당,? ,김 홍,031-581-5877,? ,,가평읍 보납로 459-41,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,이화리 경로당,? ,정순각,031-582-4754,? ,,가평읍 호반로 2302,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,산유리 경로당,? ,장석목,031-582-4225,? ,,가평읍 호반로 1827,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,복장리 경로당,? ,장동우,031-582-1874,? ,,가평읍 상지로 1098,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,금대리 경로당,? ,장동환,031-582-8744,? ,,가평읍 북한강변로 320-16,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,금대리(비령대) 경로당,? ,장동철,031-581-5331,? ,,가평읍 비령대길 112,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,센트럴파크더스카이경로당,? ,유경환,,? ,,"가평읍 보납로 11, 102동 401호(센트럴파크더스카이)",가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,가평자이아파트경로당,? ,박호철,,? ,,"가평읍 문화로 91, 104동 경로당 1층(가평자이)",가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,힐스테이트가평더뉴클래스아파트 경로당,,신영순,,,,"가평읍 가평제방길 233, 107동 1층",가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,신천1리 경로당,? ,송근덕,031-584-2558,? ,,설악면 자잠로 11,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,신천2리 경로당,? ,이강설,031-584-4487,? ,,설악면 신천중앙로88번길 26,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,신천3리 경로당,? ,조중윤,031-584-0771,? ,,설악면 신천중앙로35번길 22,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,신천4리 경로당,? ,박사례,031-584-5536,? ,,설악면 한갑골길 76,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,선촌1리 경로당,? ,사창환,031-585-5456,? ,,설악면 자잠로 124,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,선촌2리 경로당,? ,한후조,031-584-4996,? ,,설악면 탐선길 30,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,선촌3리 경로당,? ,이성세,031-584-4885,? ,,설악면 자잠로23번길 76,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,회곡1리 경로당,? ,박정남,031-584-0235,? ,,설악면 회곡양지길 10,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,회곡1리(안골) 경로당,? ,박종옥,031-585-035,? ,,설악면 회곡안골길 28,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,회곡2리 경로당,? ,최남구,031-584-9940,? ,,설악면 다락재로 116,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,사룡리 경로당,? ,이순학,,? ,,설악면 자잠로 198,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,사룡리(용문천) 경로당,? ,이규창,031-585-3548,? ,,설악면 용문천길 245,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,송산1리 경로당,? ,김광호,031-584-3150,? ,,설악면 미사리로 291-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,송산2리 경로당,? ,홍순택,,? ,,설악면 미사리로645번길 205,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,미사리 경로당,? ,유홍상,031-584-7789,? ,,설악면 미사리로 633,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,위곡1리 경로당,? ,정훈묵,031-584-6164,? ,,설악면 한서로 365,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,위곡2리 경로당,? ,백승남,031-584-7365,? ,,설악면 한서로 228-13,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,위곡2리(음동) 경로당,? ,한만근,031-584-2829,? ,,설악면 샛자리길 14-35,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,위곡3리 경로당,? ,홍성만,031-584-2249,? ,,설악면 한서로210번길 162,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,창의리 경로당,? ,원호산,031-584-5829,? ,,설악면 한서로 153-5,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,엄소리 경로당,? ,이강원,031-584-4003,? ,,설악면 묵안로 182,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,설곡리 경로당,? ,윤상수,031-584-3274,? ,,설악면 봉미산안길7번길 1-8,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,설곡리(성곡) 경로당,? ,주영은,,? ,,설악면 봉미산안길 175-7,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,묵안1리 경로당,? ,고철완,031-584-9228,? ,,설악면 묵안로 1025,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,묵안2리 경로당,? ,최봉수,031-585-7732,? ,,설악면 장수로 80-26,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,묵안2리(조항) 경로당,? ,오기현,031-585-7732,? ,,설악면 묵안로902번길 9,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,가일1리 경로당,? ,최원자,031-584-6831,? ,,설악면 유명산길 19-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,가일2리 경로당,? ,김태현,,? ,,설악면 어비산길 168,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,방일1리 경로당,? ,김두섭,031-585-7730,? ,,설악면 양방가루재길 101,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,방일2리 경로당,? ,김학봉,031-584-3900,? ,,설악면 양방가루재길 6,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,방일3리 경로당,? ,안병규,031-584-0633,? ,,설악면 평촌길 29-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,천안1리 경로당,? ,임동원,031-584-6953,? ,,설악면 유명로 1086,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,천안2리 경로당,? ,서왕석,031-585-0679,? ,,설악면 천현길 15,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,이천1리(영천벌) 경로당,? ,안병도,031-584-5075,? ,,설악면 다락재로485번길 129,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,이천2리 경로당,? ,양귀용,031-584-5074,? ,,설악면 다락재로267번길 13,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평1리 경로당,? ,조동철,031-585-6526,? ,,청평면 시장중앙로 17,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평2리 경로당,? ,김언규 ,031-584-1948,? ,,청평면 여울길 3,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평3리 경로당,? ,이연순,031-584-9468,? ,,청평면 구청평로 17,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평3리(창말) 경로당,? ,엄명웅,031-584-2232,? ,,청평면 호반로 18,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,이안지안스청평 경로당,? ,나승오,,? ,,"청평면 구청평로 20, (이안지안스청평)",가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평4리 경로당,? ,이남진,031-584-0674,? ,,청평면 잠곡로 69-8,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평5리 경로당,? ,이강문,031-584-1371,? ,,청평면 갈오현로 10-4,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평6리 경로당,? ,홍재기,031-584-5964,? ,,청평면 청평중앙로82번길 30-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평7리 경로당,? ,천팔용,031-585-5085,? ,,청평면 골안길 7-12,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평8리 경로당,? ,김종헌,031-584-5065,? ,,청평면 강변나루로40번길 1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평9리(청구아파트) 경로당,? ,유기복,031-584-5537,? ,,청평면 경춘로 819-21 청구A 관리동 노인정,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,청평10리 쉐르빌아파트 경로당,? ,김용원,031-585-2340,? ,,청평면 강변나루로 54,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상천1리 경로당,? ,서택종,031-582-7061,? ,,청평면 에덴벚꽃길 39-36,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상천2리 경로당,? ,김명진,031-584-3255,? ,,청평면 상천역로19번길 11,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상천3리 경로당,? ,김영식,031-584-2052,? ,,청평면 수리재길 324,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상천4리 경로당,? ,김현조,031-584-0466,? ,,청평면 상지로64번길 3,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하천1리 경로당,? ,김명갑,031-585-3770,? ,,청평면 버들숲로 28-7,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하천2리 경로당,? ,박종학,031-584-2349,? ,,청평면 우무내길 9,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,하천2리(마지기) 경로당,? ,한상문,031-584-0462,? ,,청평면 마지기길 47,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대성1리 경로당,? ,안영순,031-584-3356,? ,,청평면 소돌말길 7-41,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대성2리 경로당,? ,문봉찬,,? ,,청평면 남가로 2065,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,대성3리 경로당,? ,이연신,031-584-2277,? ,,청평면 은행나무길 5,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,삼회1리 경로당,? ,송만갑,031-584-4405,? ,,청평면 북한강로 2009,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,삼회2리 경로당,? ,이대교,031-584-6537,? ,,청평면 북한강로 1633-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,호명리 경로당,? ,이강복,031-585-5480,? ,,청평면 호명리길 95-25,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,고성리 경로당,? ,김육태,,? ,,청평면 말래골길 6,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,세양청마루 경로당,? , 강석규,031-584-1554,? ,,청평면 경춘로 807-45,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,연하1리 경로당,? ,장승순,031-584-6795,? ,,상면 연하길 32,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,연하2리 경로당,? ,김정숙,031-585-2970,? ,,상면 역촌길 32,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,항사리 경로당,? ,김흥만,031-584-9728,? ,,상면 청군로 921,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,항사리(벌말) 경로당,? ,권선식,031-584-5455,? ,,상면 벌말길 44,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,행현1리 경로당,? ,김인섭,031-584-6371,? ,,상면 축령로 73,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,행현2리 경로당,? ,이석찬,031-584-6738,? ,,상면 수목원로 136,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,임초1리 경로당,? ,최성옥,031-585-1679,? ,,상면 청군로 699-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,임초2리 경로당,? ,안보훈,031-584-0677,? ,,상면 임초밤안골로 50,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,덕현리 경로당,? ,성열선,031-584-2224,? ,,상면 광신길 7,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,태봉리 경로당,? ,최중례,031-585-1930,? ,,상면 태봉골길 59,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,태봉리 아랫벌 경로당,? ,최진문,,? ,,상면 아랫벌길 11-1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,원흥리 경로당,? ,안승중,031-585-0778,? ,,상면 원흥길 59,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상동리 경로당,? ,정형택,031-585-5169,? ,,상면 비룡로 1968,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,율길1리 경로당,? ,김정애,,? ,,상면 음지말로 6,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,율길1리(장막동) 경로당,? ,한상무,031-584-3485,? ,,상면 장막동길 26-14,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,율길2리 경로당,? ,서은숙,031-584-9422,? ,,상면 수역길 43-12,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,상봉수리 경로당,? ,현순형,031-584-9321,? ,,상면 봉수로150번길 28,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,봉수리 경로당(하봉수리),? ,박기흥,031-584-9320,? ,,상면 물골길 442-10,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,봉수리 물골 경로당,? ,,031-584-3669,? ,,상면 물골길 210-15,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,현1리 경로당,? ,윤군실,031-584-5553,? ,,조종면 현창로62번길 14-19,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,현2리 경로당,? ,김춘자,031-584-4831,? ,,조종면 안곡로 1,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,현3리 경로당,? ,문복순,031-584-6582,? ,,조종면 연등길 38,가평군,대한노인회 가평군지회,,,,,,,,,,,,
,,,노인,노인복지법,Y,노인여가복지시설,경로당,현4리 경로당,? ,박범석,031-585-0408,? ,,조종면 조종내길 89,가평군,대한노인회 가평군지회,,,,,,,,,,,,
